,rated,turns,victory_status,winner,increment_code,white_rating,black_rating,moves,opening_eco,opening_name,opening_ply,EstDur,Event,RatingDiff
4850,True,76,resign,black,7+8,1972,2072,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Qh4 Nc3 Bb4 Qd3 Nf6 Bd2 Bxc3 Bxc3 Qxe4+ Qxe4+ Nxe4 Nxc6 Nxc3 Ne5 Nd5 O-O-O Nf6 g4 O-O g5 Ne4 Nxd7 Nxf2 Nxf8 Nxd1 Kxd1 Kxf8 Bc4 Bg4+ Kd2 Rd8+ Kc3 Rd1 Rxd1 Bxd1 Bd5 c6 Be4 h6 h4 hxg5 hxg5 Bg4 Kd4 Ke7 c4 f6 g6 f5 Bd3 Kf6 Kc5 Kxg6 Kd6 Bf3 Ke5 Be4 Bxe4 fxe4 Kxe4 Kf6 Kf4 g5+ Ke4 Ke6 b4 b6 a4 g4,C45,Scotch Game: Modern Defense,10,740,Rapid,-100
8655,True,44,resign,black,7+14,1912,2003,d3 e5 Bd2 f5 c3 Nf6 Qc2 Nc6 e4 fxe4 dxe4 Bc5 Bc4 Na5 Bb5 a6 Be2 Nc6 Nf3 O-O O-O b5 b4 Ba7 a4 Bb7 axb5 axb5 Bxb5 Bxf2+ Rxf2 Rxa1 Bg5 Qe7 Ba4 Nxb4 cxb4 Qxb4 Bb3+ Kh8 Nxe5 Bxe4 Qxc7 Rxb1+,A00,Mieses Opening: Reversed Rat,2,980,Rapid,-91
1701,True,140,resign,black,10+0,1683,1621,e4 c5 Nf3 e6 Nc3 a6 d4 cxd4 Nxd4 Nc6 Nxc6 bxc6 a3 Nf6 Bg5 Be7 e5 Nd5 Bxe7 Qxe7 Nxd5 exd5 c4 Qxe5+ Qe2 Qxe2+ Bxe2 dxc4 Bxc4 O-O O-O-O d5 Bb3 Be6 Ba4 Rac8 b4 Bd7 Kb2 Rb8 Rhe1 Rfe8 Rxe8+ Bxe8 f4 a5 Rc1 axb4 Bxc6 bxa3+ Kxa3 Bxc6 Rxc6 h6 Rd6 Rb5 Ka4 Rc5 Kb4 Rc2 Rxd5 Rxg2 h4 Rg4 Rd8+ Kh7 Kc5 Rxf4 h5 Rf5+ Kd4 Rxh5 Rf8 f6 Ke4 Re5+ Kf4 Kg6 Rd8 Rf5+ Ke4 h5 Rd3 Ra5 Rg3+ Kh6 Kf4 g6 Ke4 Ra4+ Kd5 h4 Rh3 g5 Ke6 Kg6 Ke7 Ra6 Kd7 f5 Kc7 Kh5 Kb7 Re6 Rf3 f4 Kc7 Kg4 Rf1 h3 Rg1+ Kh4 Kd7 Ra6 Kc7 g4 Kb7 Re6 Kc7 h2 Rf1 f3 Rf2 Kh3 Rf1 Kg3 Ra1 Kg2 Ra2+ f2 Kd7 Rb6 Kc7 Rf6 Kd7 h1=Q Ke7 Rf3 Ke6 Qe1+,B46,Sicilian Defense: Paulsen Variation,10,600,Rapid,62
7049,True,60,resign,black,15+15,1622,1842,e4 e6 d4 d5 e5 c5 c3 Nc6 Nf3 Bd7 g3 Qc7 Bg2 Be7 O-O f6 Re1 O-O-O Na3 a6 Bf4 g5 exf6 gxf4 fxe7 Ngxe7 Ne5 fxg3 fxg3 Be8 Nd3 cxd4 Nc5 Qb6 Nxe6 dxc3+ Kh1 cxb2 Rb1 Bg6 Nxd8 Rxd8 Nc2 d4 Re6 d3 Na3 d2 Nc4 Qd4 Rxb2 Qxc4 Rxd2 Qxe6 Bxc6 Nxc6 Rxd8+ Nxd8 Qxd8+ Kxd8,C02,French Defense: Advance Variation |  Euwe Variation,10,1500,Classical,-220
1072,False,68,resign,black,10+0,1950,1997,e4 d5 e5 c5 Nf3 Nc6 Nc3 Bg4 h3 Bxf3 Qxf3 e6 Bb5 Ne7 d3 a6 Bxc6+ Nxc6 Bf4 Qc7 O-O Be7 Ne2 O-O c3 Nxe5 Bxe5 Qxe5 d4 cxd4 Nxd4 Bd6 g3 Bc7 Rfe1 Qg5 h4 Qg6 a4 h5 b4 Rac8 Qe2 Bxg3 fxg3 Qxg3+ Kh1 Qxh4+ Kg2 Rxc3 Nf3 Qg4+ Kf2 Rfc8 Rg1 Qf4 Ra2 Qxb4 Rxg7+ Kxg7 Qe5+ Kf8 Ng5 Qh4+ Ke2 Qc4+ Kf2 Qxa2+,B01,Scandinavian Defense,2,600,Rapid,-47
11783,True,50,resign,black,25+25,2059,2137,e4 c5 Nf3 d6 Bb5+ Bd7 Bxd7+ Nxd7 O-O Ngf6 Nc3 a6 d4 cxd4 Qxd4 Qb6 Qa4 Qc6 Be3 Qxa4 Nxa4 Nxe4 Rfe1 Nec5 Nc3 e6 Nd5 Rc8 b4 Ne4 Nf4 Rxc2 Rec1 Rc6 a4 Be7 b5 Rxc1+ Rxc1 O-O Rc7 Rd8 Rxb7 axb5 axb5 Bf6 Nd4 Bxd4 Bxd4 e5,B52,Sicilian Defense: Canal Attack |  Main Line,6,2500,Classical,-78
5354,False,27,mate,white,30+8,1500,1016,e4 Nf6 Nc3 Nc6 Nf3 Ng4 Bc4 Nb4 Nd4 e5 Nf5 Bc5 Qxg4 Bd4 Qxg7 Rf8 Qg3 Qf6 Bd3 Nxd3+ Qxd3 Bxc3 Qxc3 Qc6 Qxe5+ Kd8 Qe7#,B02,Alekhine Defense,2,2120,Classical,484
16787,True,52,mate,black,30+0,1508,1562,e4 e5 Nf3 Nc6 Bb5 Nd4 Nxd4 exd4 O-O c6 Bd3 Bd6 Qg4 g6 Qf3 Be5 Bc4 Nf6 d3 O-O Bg5 d5 exd5 Bg4 Bxf6 Bxh2+ Kxh2 Qd6+ Qg3 Qxf6 Qxg4 cxd5 Bxd5 Rad8 Bxb7 Rb8 Qf3 Qh4+ Kg1 Rfe8 Be4 Re5 b3 Rh5 Qh3 Qg5 Qg3 Qh6 f3 Rh1+ Kf2 Qe3#,C61,Ruy Lopez: Bird Variation,6,1800,Classical,-54
6914,False,27,resign,white,10+0,1869,1964,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 O-O Be7 Re1 O-O h3 b5 Bb3 d5 exd5 Na5 Nc3 Nxb3 axb3 Nxd5 Nxd5 Qxd5 Rxe5 Qc6 Rxe7,C84,Ruy Lopez: Closed Variations,10,600,Rapid,-95
11530,True,56,resign,black,15+15,1582,1687,e4 e5 Nf3 Nc6 Bc4 Nf6 Nc3 Bc5 d3 h6 O-O d6 Re1 Bg4 Be3 Nd4 Bxd4 Bxd4 h3 h5 hxg4 hxg4 Nxd4 exd4 Ne2 Nxe4 dxe4 Qh4 Ng3 O-O-O Qxd4 Rdf8 e5 f5 exf6 Rxf6 Re7 Rfh6 Kf1 Qxe7 Qe3 Qxe3 fxe3 Rh1+ Nxh1 Rxh1+ Kf2 Rxa1 Kg3 Rc1 c3 Rc2 Kxg4 Rxg2+ Kf3 Rxb2,C50,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation,9,1500,Classical,-105
11377,True,117,resign,black,10+0,1992,1941,d4 Nf6 Nf3 g6 c4 Bg7 g3 O-O Bg2 d6 O-O Nbd7 Nc3 c6 Re1 Re8 e4 e5 d5 c5 a4 a6 a5 Rb8 Bd2 b5 cxb5 axb5 a6 Qb6 a7 Ra8 Qe2 Ba6 Rxa6 Qxa6 Qxb5 Qxa7 h3 Reb8 Qd3 Rxb2 Bc1 c4 Qe3 Qxe3 Bxe3 Rb3 Rc1 h6 Nd2 Rba3 Nxc4 Ra1 Rxa1 Rxa1+ Kh2 Bf8 Bf3 Kg7 Nb5 Ne8 Bg4 Ndf6 Bf3 Rb1 Nc3 Rb3 Bd2 Nd7 Be2 Nc5 f4 f6 Bd1 Rb4 Be2 Nb3 Be1 Nd4 Bd3 Nc7 Kg2 Ncb5 Nxb5 Nxb5 fxe5 Ra4 exd6 Nxd6 Nxd6 Bxd6 Kf3 Ra3 Ke3 Bc5+ Ke2 Ra2+ Kf3 Ra1 Bd2 Rd1 Ke2 Rh1 h4 Rh2+ Kd1 Rg2 Bf4 g5 d6 gxf4 d7 Be7 gxf4 Rg4 Bb5,E60,King's Indian Defense: Normal Variation |  King's Knight Variation,5,600,Rapid,51
6175,True,60,resign,black,20+3,1689,1648,e4 e6 Bc4 d5 exd5 exd5 Qe2+ Be7 Bb3 Nf6 Nf3 Bd7 O-O c5 d4 c4 Bxc4 dxc4 Qxc4 O-O d5 Qb6 Re1 Bd6 b3 Bb5 Qh4 Nbd7 Ng5 h6 Be3 Qa5 Bd2 Qc7 f4 hxg5 fxg5 Nxd5 a4 Ba6 c4 Nb4 Rf1 Rae8 Nc3 Be5 Rf5 Qc5+ Kh1 Nd3 Ne4 Qb6 Rxf7 Rxf7 Nf6+ gxf6 g6 Rfe7 Bh6 Bxa1,C00,French Defense #2,2,1320,Rapid,41
8068,True,65,resign,white,30+0,1759,1814,d4 d5 c4 c6 e3 Nf6 Nf3 Bf5 c5 e6 Nh4 Bg6 Nxg6 hxg6 Bd3 Qc7 h3 Nbd7 Bd2 Be7 Qc2 e5 dxe5 Nxe5 Be2 O-O-O b4 d4 exd4 Rxd4 Bc3 Rdd8 Nd2 Nd5 Ne4 Nf4 g3 Nfd3+ Bxd3 Nxd3+ Ke2 f5 Nd2 Bf6 Bxf6 gxf6 Nc4 Rhe8+ Kf1 Nxb4 Qb3 Qe7 Nd6+ Rxd6 cxd6 Qe2+ Kg2 Nd3 Rhf1 Qe4+ Kg1 f4 d7+ Kxd7 Rad1,D12,Slav Defense: Quiet Variation |  Schallopp Defense,8,1800,Classical,-55
15748,True,90,outoftime,black,10+0,1479,1475,e4 e5 f4 Nc6 Nf3 f6 Bc4 exf4 d4 Qe7 Nc3 a6 Bxf4 b5 Bd5 b4 Bxc6 dxc6 Ne2 Qxe4 Bxc7 c5 O-O Bg4 Bb6 Bxf3 Rxf3 Bd6 dxc5 Be5 Rd3 Bxb2 Rd8+ Rxd8 Qxd8+ Kf7 Qc7+ Ne7 Re1 Bc3 Qg3 Bxe1 Qxe1 Nf5 Qf2 Re8 Kf1 Qxc2 c6 Qxc6 Bc5 Rd8 Qxf5 Rd1+ Kf2 g6 Qc2 Rd5 Nf4 Qxc5+ Qxc5 Rxc5 Nd3 Rc2+ Ke3 Rxa2 Nxb4 Rxg2 Nxa6 Rxh2 Kd4 Rh4+ Kd3 g5 Ke2 g4 Ke3 g3 Kf3 g2 Kg3 g1=Q+ Kxh4 Qg5+ Kh3 f5 Kh2 Qg4 Nc5 f4,C30,King's Gambit Declined |  Queen's Knight Defense,4,600,Rapid,4
3319,True,62,resign,black,10+10,1504,1558,e4 e5 Nf3 Nc6 Bc4 Bc5 d3 h6 Nc3 Nf6 O-O d6 h3 O-O Be3 Bxe3 fxe3 Re8 d4 d5 exd5 exd4 exd4 Nb4 a3 Nbxd5 Bxd5 Nxd5 Nd2 Nxc3 bxc3 Bf5 Qf3 Bg6 Qxb7 Bxc2 Qf3 Bg6 Rfe1 Rxe1+ Rxe1 Rb8 Ne4 Rb3 h4 Rxa3 h5 Bxe4 Rxe4 Ra1+ Kh2 Qg5 Re8+ Kh7 Qe4+ g6 hxg6+ Qxg6 Rh8+ Kxh8 Qxg6 fxg6,C50,Italian Game: Giuoco Pianissimo,7,1000,Rapid,-54
34,False,11,resign,white,18+0,1422,975,e4 c5 Bc4 Nf6 d3 d6 Nf3 g6 Ng5 Bg7 Nxf7,B20,Sicilian Defense: Bowdler Attack,3,1080,Rapid,447
12795,False,52,resign,black,15+15,1621,1500,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Be2 a6 Na3 b5 Nd5 Nxd5 exd5 Nb8 O-O g6 c4 b4 Nc2 a5 Ne3 Bg7 a4 O-O Ng4 Nd7 Bh6 Nc5 Bxg7 Kxg7 f4 f5 Ne3 e4 Qd4+ Qf6 Qxf6+ Rxf6 g4 Bd7 Rf2 fxg4 Nxg4 Bxg4 Bxg4 Nd3,B33,Sicilian Defense: Lasker-Pelikan Variation,10,1500,Classical,121
2367,True,41,resign,white,0+15,1525,1657,e4 d6 Bc4 Nf6 Qe2 g6 Nf3 Bg7 O-O O-O Rd1 c6 c3 Nbd7 d4 Qc7 e5 dxe5 dxe5 Ng4 e6 Nde5 exf7+ Kh8 Bf4 Nxf3+ Qxf3 Qb6 Be3 Nxe3 fxe3 Qxb2 Nd2 Qxc3 Qe4 Qa5 Qxe7 Qg5 Qxg5 Bxa1 Rxa1,B07,Pirc Defense #4,2,600,Rapid,-132
19292,True,116,outoftime,black,10+0,1140,1129,e4 e5 Nf3 Nc6 Bc4 h6 O-O Nf6 d3 d6 Nc3 Be6 Bxe6 fxe6 Be3 Nd4 h3 Qe7 Nh4 Qf7 a3 Qh5 Qxh5+ Nxh5 Bxd4 exd4 Nb5 O-O-O Nxa7+ Kb8 Nb5 e5 Rfe1 Be7 Nf3 Nf4 a4 c6 Na3 d5 Nxe5 Bxa3 Nf7 Bxb2 Rab1 Bc3 Rf1 Ne2+ Kh1 Rhf8 Nxd8 Rxd8 g4 Ba5 f3 g5 Rf2 Nc3 Rc1 Nxa4 exd5 cxd5 Re2 Nc3 Re6 Rh8 Ra1 b6 Ree1 Rf8 Rf1 Re8 Kg2 Re2+ Rf2 Re5 f4 gxf4 Rxf4 Re2+ Rf2 Re6 Rf4 Nb5 Rb1 Nc3 Rc1 Ne2 Rf8+ Ka7 Re1 Nf4+ Kf2 Nxh3+ Kf1 Rxe1+ Kg2 Ng1 Rf7+ Ka6 Rf5 Bd2 Rf2 Ne2 Kf3 Bf4 Kg2 Be3 g5 Bxf2 Kxf2 Rc1 Kxe2 Rxc2+ Kd1 Rc8,C55,Italian Game: Anti-Fried Liver Defense,6,600,Rapid,11
13589,True,87,outoftime,white,10+5,1777,1807,e4 e5 Nf3 Nc6 Bb5 Nge7 d3 h6 c3 a6 Ba4 d6 O-O Ng6 Nbd2 Bd7 Nc4 Be7 Be3 O-O d4 Bg4 d5 Na7 h3 Bc8 b4 b5 Ncxe5 dxe5 Bc2 Bd6 Nd2 Qh4 Qf3 Nf4 Kh2 f6 a4 Bd7 a5 Nc8 Rh1 Ne7 g3 Qxh3+ Kg1 Qg4 Qxg4 Bxg4 gxf4 exf4 Bd4 c6 f3 Bd7 Bb3 Kh8 Kf2 cxd5 exd5 Nf5 Bc5 Rfe8 Ne4 Bxc5+ bxc5 Re5 Rag1 Ne3 Nxf6 Bf5 Nh5 g5 Nf6 Kg7 Ng4 Bxg4 fxg4 Nxd5 Rd1 Ne3 Rd7+ Kf8 Kf3 Nc4 Rxh6,C60,Ruy Lopez: Cozio Defense,6,800,Rapid,-30
18837,True,56,resign,white,8+3,1172,1181,e4 e5 Nf3 Nc6 d3 Nf6 Nc3 Bc5 Be3 Bb4 Bd2 Bc5 Be3 Nd4 Nxd4 exd4 Bxd4 Bxd4 Nd5 O-O Qf3 Bxb2 Rb1 Bd4 Be2 d6 Qf4 Be5 Qf3 Bg4 Nxf6+ gxf6 Qxg4+ Kh8 Qf5 Rg8 g3 Rg5 Qf3 Bc3+ Kf1 Qd7 h3 f5 h4 fxe4 dxe4 Rg6 h5 Rf6 Qxc3 Qe6 f3 c5 Rxb7 Rc8,C44,King's Knight Opening: Normal Variation,4,600,Rapid,-9
2620,True,96,resign,black,15+15,1345,1392,e4 c5 Nc3 Nc6 Bc4 e6 Nf3 b6 d4 Bb7 d5 exd5 exd5 Na5 Qe2+ Qe7 d6 Qxe2+ Nxe2 Nxc4 O-O Bxd6 Re1 Ne7 Nc3 O-O Nb5 Rfe8 b3 a6 bxc4 axb5 cxb5 Ra4 Bd2 Re4 Ng5 Be5 Nxe4 Bxa1 Nd6 Kf8 Nxb7 Nc8 Rxa1 Re2 Bf4 Rxc2 Nd6 Nxd6 Bxd6+ Ke8 Re1+ Kd8 g3 Rxa2 Re7 Ra1+ Kg2 Rd1 Bxc5 bxc5 Rxf7 c4 Rf3 Kc7 Rc3 d5 Kf3 Kb6 Ke2 Rb1 Kd2 Kxb5 Kc2 Rh1 h4 Rf1 f4 h5 Kd2 d4 Rc1 Rxc1 Kxc1 c3 Kc2 Kc4 f5 d3+ Kd1 c2+ Kd2 Kd4 Kc1 Kc3,B25,Sicilian Defense: Closed Variation |  Traditional,4,1500,Classical,-47
5782,True,39,resign,white,15+5,1661,1661,c4 c5 Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 d6 Bd2 Nc6 a3 Rb8 b4 Bd7 b5 Na5 Nc3 a6 bxa6 bxa6 Rb1 Rb3 Rxb3 Nxb3 Qxb3 Qb8 Qxb8 Rxb8 Ng5 Rb2 Bc1 Rxe2 Nxe2 h6 Ne4,A30,English Opening: Symmetrical Variation,2,1100,Rapid,0
943,False,49,resign,white,10+10,1950,1226,Nf3 Nc6 g3 g6 Bg2 Nf6 O-O Bg7 c3 O-O d4 d5 Bg5 e6 Na3 a5 Nc2 b5 b3 b4 c4 dxc4 bxc4 a4 Ne5 Nxe5 dxe5 Qxd1 Raxd1 Ng4 Bxa8 Ba6 Rd8 Rxd8 Bxd8 Bxc4 Ne3 Bxe2 Re1 Bd3 Nxg4 h5 Nf6+ Kf8 Bxc7 Bxf6 exf6 Kg8 Be4,A04,Zukertort Opening: Black Mustang Defense,2,1000,Rapid,724
396,True,31,resign,black,5+5,1373,2148,e4 c5 Nf3 e6 g3 a6 Bg2 Nc6 b3 b5 Bb2 Bb7 d3 Nf6 O-O Be7 Nbd2 O-O c4 d5 cxd5 exd5 exd5 Nxd5 Ne4 h6 d4 c4 Nfd2 cxb3 Nxb3,B40,Sicilian Defense: French Variation,4,500,Rapid,-775
12653,True,70,mate,black,10+0,1997,1480,e4 e5 d4 exd4 Qxd4 Nc6 Qe3 b6 Bd3 Bc5 Nc3 Bxe3 Bxe3 d6 O-O-O Nf6 h3 Be6 Be2 Ne5 f4 Nc4 Bd4 O-O e5 Nd7 exd6 cxd6 Nf3 Qc7 Ng5 h6 Nge4 Nc5 Ng3 Rad8 f5 d5 Bf2 Qf4+ Kb1 Qxf2 fxe6 Qxg3 Nxd5 fxe6 Ne7+ Kf7 Nc6 Rxd1+ Rxd1 Ne3 Rc1 Rc8 Nd4 Qf2 Bf3 e5 Nb5 e4 Nd6+ Kf8 Bh5 Rc6 Nb5 Nd3 Rh1 Qxc2+ Ka1 Qxb2#,C22,Center Game: Paulsen Attack Variation,7,600,Rapid,517
12774,False,24,outoftime,black,30+0,1500,1500,e4 c5 Nf3 a6 Nc3 b5 a4 b4 Nd5 e6 Nf4 Bb7 Qe2 d6 d4 cxd4 Nxd4 e5 Qh5 Nf6 Qf5 Bxe4 Qh3 exd4,B28,Sicilian Defense: O'Kelly Variation |  Yerevan System,5,1800,Classical,0
14232,False,23,resign,white,15+0,1548,1700,d4 d5 Bf4 Nf6 Nf3 e6 e3 c5 c3 Nc6 Bd3 c4 Bc2 Be7 Nbd2 O-O h3 Nh5 Bh2 Bd7 O-O Qc7 Bxc7,D02,Queen's Pawn Game: London System,5,900,Rapid,-152
17871,True,72,resign,black,8+0,2071,2002,e4 e6 d4 Nf6 e5 Nd5 Nf3 Ne7 Bc4 d5 exd6 Qxd6 O-O a6 Nc3 b5 Ne4 Qd8 Be2 Bb7 Nc5 Bc6 c3 Nd5 Bg5 Be7 Bxe7 Qxe7 Ne5 Qd6 a4 bxa4 Ne4 Qd8 Nxc6 Nxc6 Qxa4 Ne7 Bxa6 O-O Qc4 Qd5 Qxd5 Nxd5 Bb7 Rxa1 Rxa1 Nce7 g3 h6 Kg2 Rb8 Ra7 Nc8 Bxc8 Rxc8 Kf3 Rb8 c4 Rb3+ Kg2 Nb6 Rxc7 Rxb2 Nd6 f6 Ne8 g5 Nxf6+ Kh8 Rg7 Kxg7,C01,French Defense: Mediterranean Defense,4,480,Rapid,69
2143,True,50,resign,black,10+0,1891,1793,e4 d5 exd5 c6 Nf3 Nf6 d4 Bg4 Be2 cxd5 O-O e6 c3 Be7 Bf4 O-O Nbd2 Nc6 h3 Bh5 Bd3 Bg6 Qe2 Nh5 Bh2 Bd6 Bxg6 hxg6 Ne5 Nxe5 Bxe5 Bxe5 Qxe5 Qb6 b3 Rac8 c4 dxc4 Nxc4 Qb4 Rfd1 Nf6 Rac1 Nd5 Ne3 Rxc1 Rxc1 Nc3 d5 Ne2+,B01,Scandinavian Defense: Blackburne-Kloosterboer Gambit,4,600,Rapid,98
10810,True,58,mate,black,30+0,1419,1428,e4 e5 Nf3 d6 Bc4 Nf6 O-O Nxe4 d3 Nf6 Ng5 d5 Bb3 Be7 Qf3 Bg4 Qg3 O-O c3 Nbd7 f4 exf4 Bxf4 Be2 Rf2 Nh5 Qe3 Nxf4 h4 Nf6 Rxf4 Nh5 Rf2 Bg4 Nxf7 Bxh4 Nxd8 Bxf2+ Qxf2 Rxf2 Kxf2 Rxd8 Nd2 Rf8+ Kg1 Nf4 d4 Be2 Re1 Bd3 Re7 Ne2+ Kh2 Rf6 Bxd5+ Kf8 Rxc7 Rh6#,C41,Philidor Defense #3,5,1800,Classical,-9
15679,True,73,mate,white,10+0,1710,1815,e4 d5 exd5 Qxd5 Nc3 Qd8 Bc4 e6 Nf3 a6 O-O Nf6 d3 h6 a3 b5 Ba2 Bb7 Be3 Be7 Qd2 Bxf3 gxf3 Nbd7 Kh1 c5 Rg1 g6 Bxh6 Ne5 Qe3 Qc7 Bf4 Bd6 Rg5 Nfd7 Ne4 Be7 Rxe5 Nxe5 d4 cxd4 Qxd4 f6 Bxe6 Rd8 Bxe5 Qxe5 Qxe5 fxe5 Rg1 g5 Nxg5 Bxg5 Rxg5 Rd1+ Kg2 Rd2 Bf5 Rd4 Be4 Ke7 Rxe5+ Kd6 Rf5 Rg8+ Kh3 Kc7 Rf7+ Kb6 b4 Rd6 Rb7#,B01,Scandinavian Defense: Mieses-Kotroc Variation,4,600,Rapid,-105
11545,True,122,draw,draw,15+0,1696,1738,d4 d5 c4 e6 Nc3 Bb4 Bf4 dxc4 e3 b5 a4 Bd7 axb5 Bxb5 Qf3 Qd5 Qg3 g6 Bxc7 Nd7 Nf3 Ngf6 Be2 Ne4 Qh4 f6 O-O Nxc3 bxc3 Bxc3 Rac1 Bb4 Rfd1 a6 e4 Qh5 Qxh5 gxh5 Bxc4 Ke7 Bxb5 axb5 Rb1 Ra4 e5 Rc8 Rxb4 Rxc7 Rxb5 Rac4 h3 Rc1 Rb1 Rxb1 Rxb1 h6 Rb5 Kf7 exf6 Kxf6 Rxh5 Kg6 Ra5 Rb7 Ra6 Kf6 g4 Ke7 h4 Rb3 Ne5 Nxe5 dxe5 Rf3 Kg2 Rb3 Ra4 Kd7 Rf4 Kc6 Rf6 Kd5 Rxh6 Kxe5 g5 Kf5 Rf6+ Kg4 Rxe6 Kxh4 g6 Rb8 f4 Kh5 f5 Kh6 Kf3 Rb4 f6 Kxg6 f7+ Kxf7 Re3 Rb1 Re2 Rf1+ Ke3 Ra1 Kd2 Ra2+ Ke3 Ra3+ Kd2 Ra2+ Ke1 Ra1+ Kf2 Rh1 Ke3 Ra1 Kd2 Ra2+,D31,Queen's Gambit Declined: Queen's Knight Variation,5,900,Rapid,-42
17622,True,36,mate,black,10+0,1592,1624,e4 e5 Nf3 Nc6 Bb5 Nf6 d4 exd4 Bxc6 dxc6 e5 Nd7 Nxd4 Nxe5 O-O Bd6 Re1 Be6 Nxe6 fxe6 Qh5+ Ng6 Rxe6+ Be7 Rxg6 O-O Rg3 Bh4 Rh3 Bxf2+ Kh1 h6 Nc3 Bh4 Rxh4 Rf1#,C65,Ruy Lopez: Berlin Defense #2,6,600,Rapid,-32
6445,True,86,mate,black,45+45,1185,1542,e4 c6 g3 d5 Bg2 dxe4 Bxe4 Nf6 Bg2 Bg4 Nf3 e6 O-O Be7 d3 O-O Bg5 Nbd7 Nbd2 Qc7 h3 Bxf3 Qxf3 Rad8 Ne4 Qe5 c3 Nxe4 Bxe7 Nd2 Qe3 Qxe3 fxe3 Nxf1 Bxd8 Rxd8 Rxf1 e5 a3 Nc5 d4 exd4 exd4 Ne6 Re1 Kf8 h4 h5 Bh3 Nc7 Kh2 Nd5 Bg2 a5 Re5 b5 Bxd5 Rxd5 Rxd5 cxd5 Kg2 a4 b4 axb3 Kf3 b2 Kf4 b1=Q Kg5 Qc1+ Kxh5 Qxc3 Kg4 Qxa3 h5 b4 Kg5 b3 g4 b2 h6 gxh6+ Kxh6 b1=Q g5 Qh3#,B10,Caro-Kann Defense,2,4500,Classical,-357
8596,True,43,resign,white,10+0,1516,1500,d4 d5 Nf3 Nf6 e3 e6 Bd3 Nc6 c3 Bd6 O-O O-O Nbd2 e5 dxe5 Nxe5 Nxe5 Bxe5 Nf3 Bd6 b4 b6 Nd4 Bb7 a4 c5 bxc5 bxc5 Nb5 c4 Bc2 Rb8 Nxd6 Qxd6 Ba3 Qc6 Bxf8 Kxf8 f3 Re8 Qc1 Rxe3 Qxe3,D05,Colle System #2,7,600,Rapid,16
16514,True,42,resign,black,5+5,1801,1631,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Be3 Bb4+ c3 Ba5 Bc4 Nf6 O-O Ne5 Bb3 O-O Nd2 c5 Ne2 d6 f4 Neg4 Nc4 Nxe4 h3 d5 hxg4 dxc4 Bxc4 Bxg4 Qxd8 Raxd8 Rad1 Bb6 Rfe1 Rxd1 Rxd1 Re8 Rd2 Nxd2,C45,Scotch Game: Classical Variation,8,500,Rapid,170
3140,True,42,mate,black,10+0,1741,1771,d4 d5 Nf3 c6 Bf4 Bf5 e3 Qb6 b3 e6 c3 Nf6 Bd3 Ne4 O-O Qa5 b4 Qd8 Bxe4 dxe4 Ne5 Bd6 Qh5 Bxe5 Bxe5 Nd7 Bxg7 Rg8 Qh6 Qc7 Bf6 Rg6 Qh4 Nxf6 Nd2 Ng4 Qxh7 O-O-O h3 Rh6 Qg7 Qh2#,D02,Queen's Pawn Game: Zukertort Variation,3,600,Rapid,-30
13324,True,67,outoftime,white,10+8,1491,1461,e4 e6 d4 c6 Nc3 d5 exd5 exd5 Nf3 a6 Be3 Be6 Be2 Bb4 Qd2 Nf6 a3 Ne4 Qd3 Bxc3+ bxc3 Qa5 Bd2 Qb6 O-O Nxd2 Nxd2 O-O Rfb1 Qc7 c4 b5 c5 Nd7 a4 g6 c3 Nf6 h3 Rae8 axb5 axb5 Qf3 h5 Qxf6 Bxh3 gxh3 Rxe2 Nf3 Rfe8 Re1 R8e6 Qh4 R6e4 Qg3 Qe7 Rxe2 Rxe2 Qg5 Qe6 Qh6 Qe4 Ra8+ Qe8 Rxe8+ Rxe8 Ng5,C00,French Defense: Normal Variation,3,920,Rapid,30
14206,True,12,resign,white,5+10,1500,2037,e4 d5 exd5 e6 d4 exd5 Nc3 Bf5 Bf4 Nc6 Nf3 Nf6,C01,French Defense: Exchange Variation,5,700,Rapid,-537
1217,True,19,resign,white,10+0,1315,1264,c4 e5 Nc3 Nc6 g3 Nf6 Bg2 Bc5 Nf3 O-O Nxe5 Nxe5 d4 Nxc4 dxc5 b6 cxb6 axb6 Bxa8,A25,English Opening: King's English Variation |  Reversed Closed Sicilian,4,600,Rapid,51
3446,False,53,resign,white,10+0,1500,1278,d4 d5 c4 dxc4 Nc3 Nf6 e4 Nc6 e5 Qxd4 exf6 Qxd1+ Nxd1 exf6 Ne3 Bb4+ Bd2 Bxd2+ Kxd2 O-O Bxc4 a6 Nf5 Ne5 Ne7+ Kh8 Bb3 Re8 Nxc8 Raxc8 Kc2 Rcd8 Rc1 Nc6 Kb1 Rd7 Nf3 Nb4 Ba4 c6 Rhe1 Rxe1 Rxe1 Rd8 Rd1 Re8 Bb3 b5 Bxf7 Rf8 a3 Rxf7 Rd8+,D20,Queen's Gambit Accepted,4,600,Rapid,222
